町,洋風,旅行,心がほっとする,生活感,個性溢れる,爽やか,物価が低い,商店街,落ちついている,ハイソサイエティ,若者,海,イルミネ｜ション,ネオン,イケイケ・ノリノリ,ライブハウス,ワクワクする,いつ訪れても変わらない,お年寄りが多い,整理された自然,近所のつながり,近未来,マリンスポ-ツ,音楽
吉祥寺,1,0,3,3,4,3,0,4,9,3,7,0,0,1,4,0,1,1,0,1,0,1,0,1
巣鴨,0,0,5,9,0,0,1,6,4,1,0,0,0,0,1,0,0,4,9,0,2,1,0,0
北千住,0,0,2,8,1,1,1,4,6,3,1,0,0,0,1,0,0,3,1,1,2,2,0,0
茅ケ崎,1,1,1,8,3,8,2,3,3,1,7,12,0,0,4,4,1,2,2,3,2,0,10,3
横浜,7,3,1,1,5,2,0,3,3,6,5,7,7,4,2,1,7,2,0,3,0,4,1,2
高円寺,1,1,5,2,2,1,1,4,1,4,2,0,1,2,1,2,2,0,1,1,1,0,0,2
藤沢,1,1,2,6,2,2,0,3,3,0,1,7,1,0,4,1,1,1,3,4,2,0,4,2
下北沢,0,0,1,0,6,1,0,4,1,2,8,0,0,0,4,11,2,2,0,0,1,1,0,6
平塚,0,0,2,10,0,1,3,6,2,0,0,9,1,0,2,0,0,4,2,2,3,0,2,0
恵比寿,2,0,0,0,1,1,0,0,4,9,4,0,5,6,2,0,1,0,0,1,0,3,0,1
鎌倉,0,9,6,1,1,3,0,2,9,4,2,3,1,0,0,1,0,4,4,9,3,0,0,0
原宿,4,1,0,0,12,0,2,3,0,3,14,0,2,5,12,3,8,0,0,0,0,9,0,6